"NOTE","OK","package"
2,10,"adegenet"
NA,12,"AMR"
NA,12,"apisensr"
NA,12,"argo"
5,7,"Bernadette"
NA,12,"bets.covid19"
NA,12,"bkmr"
NA,12,"cfr"
7,5,"cholera"
3,10,"cmprsk"
NA,12,"coarseDataTools"
NA,12,"contactdata"
NA,12,"corona"
2,10,"coronavirus"
NA,12,"COVID19"
7,5,"covid19.analytics"
2,10,"covid19br"
NA,12,"covid19dbcand"
12,NA,"covid19france"
NA,12,"covid19italy"
2,10,"covid19sf"
NA,12,"covid19swiss"
NA,12,"covid19us"
NA,12,"CovidMutations"
NA,13,"dbparser"
NA,12,"dde"
NA,12,"deSolve"
7,5,"DSAIDE"
12,NA,"earlyR"
NA,12,"endtoend"
12,NA,"EnvStats"
NA,13,"Epi"
NA,12,"epibasix"
NA,13,"epicontacts"
NA,12,"EpiContactTrace"
2,10,"EpiCurve"
12,NA,"epiDisplay"
9,3,"EpiEstim"
NA,12,"epiflows"
1,11,"EpiILM"
1,11,"EpiILMCT"
1,11,"epimdr"
1,11,"EpiModel"
NA,12,"epinet"
13,NA,"EpiNow2"
NA,13,"epiR"
9,3,"EpiReport"
NA,12,"episensr"
NA,12,"EpiSignalDetection"
9,3,"epitools"
NA,12,"epitrix"
9,3,"epitweetr"
NA,12,"etm"
4,9,"finalsize"
9,4,"HIMA"
NA,12,"i2extras"
NA,13,"incidence"
NA,13,"incidence2"
NA,13,"linelist"
NA,12,"malariaAtlas"
NA,12,"mediation"
9,3,"mem"
NA,12,"memapp"
NA,12,"mma"
9,3,"modelSSE"
NA,12,"mstate"
NA,12,"NADA"
NA,13,"nbTransmission"
NA,13,"nhanesA"
NA,13,"nosoi"
NA,13,"o2geosocial"
NA,12,"odin"
12,NA,"outbreaker2"
NA,12,"outbreaks"
NA,13,"pomp"
NA,13,"popEpi"
NA,12,"powerSurvEpi"
9,3,"R0"
NA,12,"riskCommunicator"
2,10,"RSurveillance"
4,9,"SimInf"
NA,13,"socialmixr"
NA,12,"SpatialEpi"
12,1,"surveillance"
12,NA,"TransPhylo"
NA,12,"trendeval"
1,11,"trending"
NA,12,"tsiR"
