"NOTE","OK","FAIL","WARN","ERROR","package"
2,11,NA,NA,NA,"adegenet"
NA,13,NA,NA,NA,"AMR"
NA,13,NA,NA,NA,"apisensr"
NA,13,NA,NA,NA,"argo"
6,6,1,NA,NA,"Bernadette"
NA,13,NA,NA,NA,"bets.covid19"
NA,13,NA,NA,NA,"bkmr"
NA,13,NA,NA,NA,"cfr"
8,5,NA,NA,NA,"cholera"
2,11,NA,NA,NA,"cmprsk"
NA,13,NA,NA,NA,"coarseDataTools"
NA,13,NA,NA,NA,"contactdata"
NA,13,NA,NA,NA,"corona"
2,11,NA,NA,NA,"coronavirus"
NA,13,NA,NA,NA,"COVID19"
8,5,NA,NA,NA,"covid19.analytics"
2,11,NA,NA,NA,"covid19br"
NA,13,NA,NA,NA,"covid19dbcand"
13,NA,NA,NA,NA,"covid19france"
NA,13,NA,NA,NA,"covid19italy"
2,11,NA,NA,NA,"covid19sf"
NA,13,NA,NA,NA,"covid19swiss"
NA,13,NA,NA,NA,"covid19us"
NA,12,NA,1,NA,"CovidMutations"
NA,13,NA,NA,NA,"dbparser"
NA,13,NA,NA,NA,"dde"
NA,13,NA,NA,NA,"deSolve"
7,5,1,NA,NA,"DSAIDE"
13,NA,NA,NA,NA,"earlyR"
NA,13,NA,NA,NA,"endtoend"
13,NA,NA,NA,NA,"EnvStats"
NA,13,NA,NA,NA,"Epi"
NA,13,NA,NA,NA,"epibasix"
NA,13,NA,NA,NA,"epicontacts"
NA,13,NA,NA,NA,"EpiContactTrace"
2,9,1,NA,1,"EpiCurve"
13,NA,NA,NA,NA,"epiDisplay"
9,3,1,NA,NA,"EpiEstim"
NA,13,NA,NA,NA,"epiflows"
1,12,NA,NA,NA,"EpiILM"
1,11,1,NA,NA,"EpiILMCT"
1,12,NA,NA,NA,"epimdr"
1,11,1,NA,NA,"EpiModel"
NA,13,NA,NA,NA,"epinet"
11,NA,NA,NA,2,"EpiNow2"
NA,13,NA,NA,NA,"epiR"
8,3,1,NA,1,"EpiReport"
NA,13,NA,NA,NA,"episensr"
NA,12,1,NA,NA,"EpiSignalDetection"
10,3,NA,NA,NA,"epitools"
NA,13,NA,NA,NA,"epitrix"
10,3,NA,NA,NA,"epitweetr"
NA,13,NA,NA,NA,"etm"
4,9,NA,NA,NA,"finalsize"
9,3,NA,NA,1,"HIMA"
NA,13,NA,NA,NA,"incidence"
NA,13,NA,NA,NA,"incidence2"
NA,12,NA,NA,1,"linelist"
NA,13,NA,NA,NA,"malariaAtlas"
NA,13,NA,NA,NA,"mediation"
10,3,NA,NA,NA,"mem"
NA,13,NA,NA,NA,"memapp"
NA,13,NA,NA,NA,"mma"
10,3,NA,NA,NA,"modelSSE"
NA,13,NA,NA,NA,"mstate"
NA,13,NA,NA,NA,"NADA"
NA,13,NA,NA,NA,"nbTransmission"
NA,13,NA,NA,NA,"nhanesA"
NA,13,NA,NA,NA,"nosoi"
NA,8,NA,NA,5,"o2geosocial"
NA,13,NA,NA,NA,"odin"
13,NA,NA,NA,NA,"outbreaker2"
NA,13,NA,NA,NA,"outbreaks"
NA,13,NA,NA,NA,"pomp"
NA,13,NA,NA,NA,"popEpi"
NA,13,NA,NA,NA,"powerSurvEpi"
10,3,NA,NA,NA,"R0"
NA,13,NA,NA,NA,"riskCommunicator"
2,11,NA,NA,NA,"RSurveillance"
4,9,NA,NA,NA,"SimInf"
NA,13,NA,NA,NA,"socialmixr"
NA,13,NA,NA,NA,"SpatialEpi"
12,1,NA,NA,NA,"surveillance"
13,NA,NA,NA,NA,"TransPhylo"
NA,13,NA,NA,NA,"trendeval"
1,12,NA,NA,NA,"trending"
NA,13,NA,NA,NA,"tsiR"
