"ERROR","NOTE","OK","FAIL","package"
1,2,10,NA,"adegenet"
NA,1,12,NA,"AMR"
1,NA,12,NA,"apisensr"
1,NA,12,NA,"argo"
1,6,5,1,"Bernadette"
NA,NA,13,NA,"bets.covid19"
1,NA,12,NA,"bkmr"
2,NA,11,NA,"cfr"
1,8,4,NA,"cholera"
NA,2,11,NA,"cmprsk"
NA,NA,13,NA,"coarseDataTools"
1,NA,12,NA,"contactdata"
1,NA,12,NA,"corona"
1,2,10,NA,"coronavirus"
NA,1,12,NA,"COVID19"
1,8,4,NA,"covid19.analytics"
1,2,10,NA,"covid19br"
1,NA,12,NA,"covid19dbcand"
1,12,NA,NA,"covid19france"
1,NA,12,NA,"covid19italy"
1,2,10,NA,"covid19sf"
1,NA,12,NA,"covid19swiss"
1,NA,12,NA,"covid19us"
1,NA,12,NA,"CovidMutations"
1,NA,12,NA,"dbparser"
1,NA,12,NA,"dde"
NA,NA,13,NA,"deSolve"
1,8,4,NA,"DSAIDE"
1,12,NA,NA,"earlyR"
1,NA,12,NA,"endtoend"
1,12,NA,NA,"EnvStats"
2,NA,11,NA,"Epi"
NA,NA,13,NA,"epibasix"
1,NA,12,NA,"epicontacts"
NA,NA,13,NA,"EpiContactTrace"
1,2,9,1,"EpiCurve"
NA,13,NA,NA,"epiDisplay"
1,8,3,1,"EpiEstim"
1,NA,12,NA,"epiflows"
NA,1,12,NA,"EpiILM"
1,1,10,1,"EpiILMCT"
NA,2,11,NA,"epimdr"
1,1,11,NA,"EpiModel"
1,NA,12,NA,"epinet"
3,10,NA,NA,"EpiNow2"
1,NA,12,NA,"epiR"
1,8,3,1,"EpiReport"
1,NA,12,NA,"episensr"
1,NA,11,1,"EpiSignalDetection"
NA,10,3,NA,"epitools"
1,NA,12,NA,"epitrix"
1,9,3,NA,"epitweetr"
NA,1,12,NA,"etm"
1,4,8,NA,"finalsize"
1,9,3,NA,"HIMA"
1,NA,12,NA,"incidence"
1,NA,12,NA,"incidence2"
2,NA,11,NA,"linelist"
1,NA,12,NA,"malariaAtlas"
1,NA,12,NA,"mediation"
1,9,3,NA,"mem"
1,NA,12,NA,"memapp"
1,NA,12,NA,"mma"
NA,10,3,NA,"modelSSE"
1,NA,12,NA,"mstate"
NA,NA,13,NA,"NADA"
1,NA,12,NA,"nbTransmission"
1,NA,12,NA,"nhanesA"
NA,1,12,NA,"nosoi"
5,NA,8,NA,"o2geosocial"
1,NA,12,NA,"odin"
1,12,NA,NA,"outbreaker2"
1,NA,12,NA,"outbreaks"
NA,1,12,NA,"pomp"
1,NA,12,NA,"popEpi"
NA,NA,13,NA,"powerSurvEpi"
NA,10,3,NA,"R0"
1,NA,12,NA,"riskCommunicator"
1,2,10,NA,"RSurveillance"
NA,4,9,NA,"SimInf"
1,NA,12,NA,"socialmixr"
1,NA,12,NA,"SpatialEpi"
NA,12,1,NA,"surveillance"
1,12,NA,NA,"TransPhylo"
1,NA,12,NA,"trendeval"
1,1,11,NA,"trending"
1,NA,12,NA,"tsiR"
