"NOTE","OK","FAIL","ERROR","package"
2,11,NA,NA,"adegenet"
NA,13,NA,NA,"AMR"
NA,13,NA,NA,"apisensr"
NA,13,NA,NA,"argo"
6,6,1,NA,"Bernadette"
NA,13,NA,NA,"bets.covid19"
NA,13,NA,NA,"bkmr"
NA,12,NA,1,"cfr"
8,5,NA,NA,"cholera"
2,11,NA,NA,"cmprsk"
NA,13,NA,NA,"coarseDataTools"
NA,13,NA,NA,"contactdata"
NA,13,NA,NA,"corona"
2,11,NA,NA,"coronavirus"
NA,13,NA,NA,"COVID19"
8,5,NA,NA,"covid19.analytics"
2,11,NA,NA,"covid19br"
NA,13,NA,NA,"covid19dbcand"
13,NA,NA,NA,"covid19france"
NA,13,NA,NA,"covid19italy"
2,11,NA,NA,"covid19sf"
NA,13,NA,NA,"covid19swiss"
NA,13,NA,NA,"covid19us"
NA,13,NA,NA,"CovidMutations"
NA,13,NA,NA,"dbparser"
NA,13,NA,NA,"dde"
NA,13,NA,NA,"deSolve"
8,5,NA,NA,"DSAIDE"
13,NA,NA,NA,"earlyR"
NA,13,NA,NA,"endtoend"
13,NA,NA,NA,"EnvStats"
NA,13,NA,NA,"Epi"
NA,13,NA,NA,"epibasix"
NA,13,NA,NA,"epicontacts"
NA,13,NA,NA,"EpiContactTrace"
2,10,1,NA,"EpiCurve"
13,NA,NA,NA,"epiDisplay"
9,3,1,NA,"EpiEstim"
NA,13,NA,NA,"epiflows"
1,12,NA,NA,"EpiILM"
1,11,1,NA,"EpiILMCT"
1,12,NA,NA,"epimdr"
1,12,NA,NA,"EpiModel"
NA,13,NA,NA,"epinet"
12,NA,NA,1,"EpiNow2"
NA,13,NA,NA,"epiR"
9,3,1,NA,"EpiReport"
NA,13,NA,NA,"episensr"
NA,12,1,NA,"EpiSignalDetection"
10,3,NA,NA,"epitools"
NA,13,NA,NA,"epitrix"
10,3,NA,NA,"epitweetr"
NA,13,NA,NA,"etm"
4,9,NA,NA,"finalsize"
10,3,NA,NA,"HIMA"
NA,13,NA,NA,"incidence"
NA,13,NA,NA,"incidence2"
NA,12,NA,1,"linelist"
NA,13,NA,NA,"malariaAtlas"
NA,13,NA,NA,"mediation"
10,3,NA,NA,"mem"
NA,13,NA,NA,"memapp"
NA,13,NA,NA,"mma"
10,3,NA,NA,"modelSSE"
NA,13,NA,NA,"mstate"
NA,13,NA,NA,"NADA"
NA,13,NA,NA,"nbTransmission"
NA,13,NA,NA,"nhanesA"
NA,13,NA,NA,"nosoi"
NA,8,NA,5,"o2geosocial"
NA,13,NA,NA,"odin"
13,NA,NA,NA,"outbreaker2"
NA,13,NA,NA,"outbreaks"
NA,13,NA,NA,"pomp"
NA,13,NA,NA,"popEpi"
NA,13,NA,NA,"powerSurvEpi"
10,3,NA,NA,"R0"
NA,13,NA,NA,"riskCommunicator"
2,11,NA,NA,"RSurveillance"
4,9,NA,NA,"SimInf"
NA,13,NA,NA,"socialmixr"
NA,13,NA,NA,"SpatialEpi"
12,1,NA,NA,"surveillance"
13,NA,NA,NA,"TransPhylo"
NA,13,NA,NA,"trendeval"
1,12,NA,NA,"trending"
NA,13,NA,NA,"tsiR"
