"NOTE","OK","ERROR","package"
2,11,NA,"adegenet"
NA,13,NA,"AMR"
NA,13,NA,"apisensr"
NA,13,NA,"argo"
6,7,NA,"Bernadette"
NA,13,NA,"bets.covid19"
NA,13,NA,"bkmr"
NA,13,NA,"cfr"
8,5,NA,"cholera"
NA,11,2,"cleanepi"
2,11,NA,"cmprsk"
NA,13,NA,"coarseDataTools"
NA,13,NA,"contactdata"
NA,13,NA,"corona"
2,11,NA,"coronavirus"
NA,13,NA,"COVID19"
8,5,NA,"covid19.analytics"
2,11,NA,"covid19br"
NA,13,NA,"covid19dbcand"
13,NA,NA,"covid19france"
NA,13,NA,"covid19italy"
2,11,NA,"covid19sf"
NA,13,NA,"covid19swiss"
NA,13,NA,"covid19us"
NA,13,NA,"CovidMutations"
NA,13,NA,"dbparser"
NA,13,NA,"dde"
NA,13,NA,"deSolve"
8,5,NA,"DSAIDE"
13,NA,NA,"earlyR"
NA,13,NA,"endtoend"
13,NA,NA,"EnvStats"
NA,13,NA,"Epi"
NA,13,NA,"epibasix"
NA,13,NA,"epicontacts"
NA,13,NA,"EpiContactTrace"
2,11,NA,"EpiCurve"
13,NA,NA,"epiDisplay"
10,3,NA,"EpiEstim"
NA,13,NA,"epiflows"
1,12,NA,"EpiILM"
1,12,NA,"EpiILMCT"
1,12,NA,"epimdr"
1,12,NA,"EpiModel"
NA,13,NA,"epinet"
13,NA,NA,"EpiNow2"
NA,13,NA,"epiR"
10,3,NA,"EpiReport"
NA,13,NA,"episensr"
NA,13,NA,"EpiSignalDetection"
10,3,NA,"epitools"
NA,13,NA,"epitrix"
10,3,NA,"epitweetr"
NA,13,NA,"etm"
4,9,NA,"finalsize"
10,3,NA,"HIMA"
NA,13,NA,"incidence"
NA,13,NA,"incidence2"
NA,13,NA,"inctools"
NA,13,NA,"linelist"
NA,13,NA,"malariaAtlas"
NA,13,NA,"mediation"
10,3,NA,"mem"
NA,13,NA,"memapp"
NA,13,NA,"mma"
10,3,NA,"modelSSE"
NA,13,NA,"mstate"
NA,13,NA,"NADA"
NA,13,NA,"nbTransmission"
NA,13,NA,"nhanesA"
NA,13,NA,"nosoi"
NA,10,3,"o2geosocial"
NA,13,NA,"odin"
13,NA,NA,"outbreaker2"
NA,13,NA,"outbreaks"
NA,13,NA,"pomp"
NA,13,NA,"popEpi"
NA,13,NA,"powerSurvEpi"
10,3,NA,"R0"
NA,13,NA,"riskCommunicator"
2,11,NA,"RSurveillance"
4,9,NA,"SimInf"
NA,13,NA,"socialmixr"
NA,13,NA,"SpatialEpi"
12,1,NA,"surveillance"
13,NA,NA,"TransPhylo"
NA,13,NA,"trendeval"
1,12,NA,"trending"
NA,13,NA,"tsiR"
